HandlungskompetenzId;Titel;Module Berufsfachschule;Module ÜK;Leistungsziele;Beschreibung;Fachrichtung
a1;Bedürfnisse von Stakeholdern im Rahmen eines ICT-Projekts abklären und dokumentieren;431, 306;-;"a1.1: Sie klären Projektziele und übergeordnete Parameter wie Kosten, Zeit, Qualität, Umfang, Verantwortlichkeiten und Methodik eines ICT-Projektes ab. (K3)
a1.2: Sie wenden verschiedene Befragungstechniken und Beobachtungstechniken an (z.B. of-fene, geschlossene Fragen, Meeting, Workshop, Shadowing, Simulation der anzustrebenden Lösung in Form eines Zeitsprungs). (K5)
a1.3: Sie analysieren den Systemkontext, nehmen eine System- und Kontextabgrenzung vor und identifizieren Schnittstellen. (K4)
a1.4: Sie erarbeiten Lösungen zur Beseitigung möglicher Zielkonflikte. (K5)
a1.5: Sie überführen die natürlich sprachige Definition (der Stakeholder) in eine modellba-sierte Dokumentation mit eindeutigen, referenzierbaren Projektziele und -anforderungen. (K5)
a1.6: Sie überprüfen die Projektziele und -anforderungen bezüglich Messbarkeit, Konsistenz, Vollständigkeit, Notwendigkeit, Korrektheit und Referenzierbarkeit. (K4)
a1.7: Sie definieren die Eigenschaften für die Verwaltung der einzelnen Projektziele und -an-forderungen (z.B. Versionierung, Identifikator zur Referenzierbarkeit, Beschreibung, Autor, Quelle, Kritikalität, Priorität). (K3)";"Informatikerinnen und Informatiker nehmen die Projektziele und Bedürfnisse der Stakeholder auf und dokumentieren diese:
Als Erstes erfragen sie die Projektziele und klären übergeordnete Parameter wie Kosten, Zeit, Qualität, Umfang, Verantwortlichkeiten und Methodik (Initiale Road Mapping Session). Sie wenden dabei verschiedene Befragungstechniken und Beobachtungstechniken an (z.B. offene, geschlossene Fragen, Meeting, Workshop, Shadowing, Simulation der anzustre-benden Lösung in Form eines Zeitsprungs). Dank ihres Einfühlungsvermögens sind sie in der Lage, die Bedürfnisse der Stakeholder/der Kundschaft passgenau zu erfassen und das Gespräch zielgerichtet zu führen. Als Nächstes analysieren sie den Systemkontext: Welchen Anforderungen muss das zu entwickelnde System gerecht werden? Sie klären die System- und Kontextabgrenzung und identifizieren Schnittstellen. Sie erarbeiten Lösungen zur Beseitigung möglicher Zielkonflikte. (Requirements Elicitation)
Danach überführen sie die natürlichsprachige Definition (der Stakeholder) in eine modellbasierte Dokumentation und klassifizieren die Projektziele und -anforderungen (z.B. Kano-Modell). Sie achten darauf, allfälligen Interpretationsspielraum zu minimieren. Das Ziel ist es, eindeutige, referenzierbare Projektziele und -anforderungen als Basis für das weitere Vorgehen des Engineering Prozesses zu haben. (Requirements Documentation / Communication)
In einem weiteren Schritt überprüfen sie die aufgenommenen Projektziele und -anforderungen bezüglich Messbarkeit, Konsistenz, Vollständigkeit, Notwendigkeit, Korrektheit und Referenzierbarkeit. Dabei setzen sie unterstützende Techniken (z.B. Inspektion, Walkthrough, Perspektivenbasiertes Lesen, Prüfung durch Prototyp) ein. (Requirements Validation)
Zuletzt definieren sie die Eigenschaften für die Verwaltung der einzelnen Projektziele und -anforderungen (z.B. Versionierung, Identifikator zur Referenzierbarkeit, Beschreibung, Autor, Quelle, Kritikalität, Priorität). (Requirements Management)";Appli, Plattform
a2;Vorgehensmodell für ein ICT-Projekt bestimmen;431, 306;-;"a2.1: Sie analysieren die vom Auftraggeber gegebenen Konditionen und Parameter. (K4)
a2.2: Sie wägen die Vor- und Nachteile von verschiedenen plangetriebenen resp. agilen (itera-tiven, inkrementellen) Vorgehensmodellen in Bezug auf ein ICT-Projekt ab und wählen ein pas-sendes Modell. (K4)
a2.3: Sie passen ein Vorgehensmodell projektspezifisch an (Process-Tailoring). (K5)";"Informatikerinnen und Informatiker wählen ein den Projektzielen und -anforderungen entsprechendes Vorgehensmodell:
Zunächst analysieren sie die in der Handlungskompetenz a1 ermittelten Parameter und die vom Auftraggeber gegebenen Konditionen (z.B. Teamstruktur, Dynamik der Anforderun-gen, Entwicklungskultur, Teamgrösse).
Danach wägen sie die Vor- und Nachteile von verschiedenen plangetriebenen resp. agilen (iterativen, inkrementellen) Vorgehensmodellen in Bezug auf das ICT-Projekt ab, bewerten diese und wählen ein passendes Modell. Bei Bedarf passen sie das Vorgehensmodell projektspezifisch an (Process-Tailoring).";Appli, Plattform
a3;Informationen zu ICT-Lösungen und zu Innovationen recherchieren;241. 245;248;"a3.1: Sie suchen gezielt und systematisch nach Informationen aus digitalen und analogen Quel-len. (K4)
a3.2: Sie identifizieren verlässliche Quellen. (K4)
a3.3: Sie vergleichen mehrere Varianten aus den Ergebnissen und bewerten sie. (K4)
a3.4: Sie zeigen technische Potenziale und Risiken von Varianten auf. (K4)
a3.5: Sie erstellen ein technisches Proof of Concept (PoC). (K5)";"Informatikerinnen und Informatiker suchen gezielt Informationen zu ICT-Lösungen, um Wissenslücken zu schliessen oder den aktuellen Stand der Technik zu erfassen:
Sie suchen nach Innovationen, z.B. um eine Übersicht über die Marktsituation zu erstellen oder den aktuellen Stand der Technik zu erfassen. Dazu suchen sie gezielt und systematisch nach Informationen aus digitalen und analogen Quellen. Sie durchleuchten die Ergebnisse kritisch und identifizieren verlässliche und unzuverlässige oder unseriöse Quellen. Sie achten dabei auf Informationen zu Produkten und Lösungen, welche einen sparsamen Umgang mit Energie und einen bedachten Umgang mit verwendeten Ressourcen ermöglichen.
Sie tragen mehrere Varianten aus den Ergebnissen zusammen, vergleichen und bewerten sie. Dabei zeigen sie deren technische Potenziale und Risiken auf.
Für die favorisierte Variante erstellen sie ein technisches Proof of Concept (PoC), um die prinzipielle Durchführbarkeit eines Vorhabens zu belegen (z.B. zur Risikominimierung).";Appli, Plattform
a4;ICT-Projekte und daraus entstehende Aufgaben gemäss Vorgehensmodell planen;431, 306;;"a4.1: Sie teilen eine Gesamtaufgabe in kleinere, besser einschätzbare und einer Ressource zu-teilbare Aktivitäten auf. (K3)
a4.2: Sie identifizieren Aktivitäten nach Typ Aufwand oder Dauer. (K4)
a4.3: Sie schätzen Aufwand, Dauer und Komplexitätsgrad von Aktivitäten ab. (K4)
a4.4: Sie klären die sequenziellen Abhängigkeiten von Aktivitäten und definieren die zeitliche Reihenfolge. (K4)
a4.5: Sie gruppieren und priorisieren Aktivitäten zur Erreichung eines Zwischenziels anhand von zeitlichen oder funktionellen Vorgaben. (K3)";"Informatikerinnen und Informatiker planen ihre Aufgaben gemäss dem gewählten Vorgehensmodell:
Unabhängig vom Vorgehensmodell brechen sie eine Gesamtaufgabe in kleinere, besser einschätzbare und einer Ressource zuteilbare Aktivitäten herunter (vom Groben zum Detail). Sie unterscheiden Aktivitäten nach Aufwand und Dauer, erstellen eine ungefähre zeitliche Einschätzung und schätzen den Komplexitätsgrad der Aufgabe ab. Weiter klären sie die sequenziellen Abhängigkeiten, definieren die zeitliche Reihenfolge und hinterlegen sie allenfalls mit Ressourcen. Zum Schluss gruppieren und priorisieren sie Aktivitäten zur Errei-chung eines Zwischenziels anhand von zeitlichen oder funktionellen Vorgaben und halten dies schriftlich fest.
Nachfolgend anhand des Beispiels Scrum «rollenübergreifend» und vereinfacht erklärt:
• Sie definieren und priorisieren (z.B. BV, ROI) User Stories im Product Backlog zusammen mit den Stakeholdern.
• Sie legen Velocity und Goals (Condition of Satisfaction) für die geplante Iteration (Sprint) fest.
• Sie schätzen (Story Points) die User Stories (Story Poker) ab.
• Sie bestimmen den Sprint Backlog.";Appli, Plattform
a5;Varianten für ICT-Lösungen visualisieren und präsentieren;431, 306;;"a5.1: Sie identifizieren die Zielgruppe und deren Informationsbedürfnisse zu einer ICT-Lösung gemäss Anforderungskatalog. (K4)
a5.2: Sie identifizieren die zielgruppenrelevanten Merkmale einer ICT-Lösung. (K4)
a5.3: Sie bereiten die aus den Merkmalen gewonnenen Erkenntnisse zielgruppen- und prob-lemgerecht visuell auf (z.B. Flipchart, Whiteboard, Präsentationsprogramm, Videoconferen-cing). (K5)
a5.4: Sie präsentieren ihre Lösungsvorschläge schlüssig und überzeugend (z.B. durch Storytel-ling). (K5)";"Informatikerinnen und Informatiker bereiten verschiedene Varianten von ICT-Lösungen visuell auf und präsentieren sie:
Zunächst identifizieren sie die Zielgruppe und deren Informationsbedürfnisse zu den ICT-Lösungen gemäss Anforderungskatalog. Darauf identifizieren sie die zielgruppenrelevanten Merkmale der ICT-Lösungen. Im Anschluss bereiten sie die aus den Merkmalen gewonnenen Erkenntnisse zielgruppen- und problemgerecht visuell auf (z.B. Flipchart, Whiteboard, Präsentationsprogramm, Videoconferencing). Sie nutzen dabei ihre Kreativität und ihr Vorstellungsvermögen.
Zum Schluss präsentieren sie ihre Lösungsvorschläge schlüssig und überzeugend, um den Entscheidungsträgern bei ihrer Entscheidungsfindung zu helfen (z.B. durch Storytelling).";Appli, Plattform
a6;Fortschritt von ICT-Projekten und daraus entstehenden Aufgaben gemäss Vorgehensmodell überprüfen und rapportieren;431, 306;;"a6.1: Sie bringen Bewertungen zum Stand der ihnen zugewiesenen Aufträge ein (persönlich oder über ein Tool). (K3)
a6.2: Sie kategorisieren und priorisieren gesammelte Bewertungen. (K4)
a6.3: Sie konsolidieren die Bewertungen und erarbeiten ggf. Vorschläge für Korrekturmass-nahmen. (K5)
a6.4: Sie halten den Fortschritt schriftlich fest und stellen ihn visuell dar. (K3)
a6.5: Sie rapportieren die zusammengefassten Ergebnisse zum Projektfortschritt gemäss pro-jektspezifischem Vorgehensmodell. (K3)";"Informatikerinnen und Informatiker überprüfen laufend den Fortschritt eines Projekts oder ihrer Aufgaben darin und rapportieren diesen gemäss projektspezifischem Vorgehensmo-dell:
Entsprechend ihrer Rolle holen oder bringen sie zuerst Bewertungen zum Stand der zugewiesenen Aufträge ein (persönlich oder über ein Tool). Falls sie eine koordinierende oder leitende Rolle im Projekt innehaben, ergeben sich weitere Schritte:
Sie sammeln die Bewertungen, kategorisieren und priorisieren sie. Danach konsolidieren sie die Bewertungen und erarbeiten ggf. Vorschläge für Korrekturmassnahmen. In einem weiteren Schritt halten sie den Fortschritt schriftlich fest, visualisieren und kommunizieren ihn. Schliesslich legen sie zusammen mit den Entscheidungsträgern das weitere Vorgehen fest, z.B. Entscheid für Korrekturmassnahmen.";Appli, Plattform
a7;ICT-Lösungen der Kundin oder dem Kunden übergeben und Projekt abschliessen;431, 306;;"a7.1: Sie eruieren die einzubeziehenden Personen beim Kunden. (K3)
a7.2: Sie legen zusammen mit dem Kunden die Abnahmekriterien und -verfahren sowie den zeitlichen Ablauf der Übergabe fest. (K3)
a7.3: Sie stellen die gemäss Projektauftrag vereinbarte Dokumentation bereit. (K3)
a7.4: Sie planen eine Schulung/Instruktion. (K3)
a7.5: Sie bereiten die Schulungsunterlagen vor. (K5)
a7.6: Sie führen eine Abnahme nach festgelegten Kriterien durch und protokollieren sie. (K3)
a7.7: Sie archivieren und sichern ihre Arbeiten nach betriebsspezifischen Vorgaben. (K3)";"Informatikerinnen und Informatiker übergeben eine ICT-Lösung der Kundin oder dem Kunden und schliessen das Projekt gemäss Vereinbarung im Projektauftrag ab:
Dazu eruieren sie zuerst die einzubeziehenden Personen bei der Kundin bzw. Kunden. Falls noch nicht vorhanden, legen sie zusammen mit der Kundin / dem Kunden die Abnahme-kriterien und -verfahren sowie den zeitlichen Ablauf der Übergabe fest.
Als Nächstes stellen sie die gemäss Projektauftrag vereinbarte Dokumentation bereit. Bei Bedarf planen sie eine Schulung/Instruktion und bereiten die Schulungsunterlagen vor. Danach führen sie die Abnahme nach den festgelegten Kriterien durch und protokollieren sie. Zum Schluss archivieren und sichern sie ihre Arbeiten nach betriebsspezifischen Vorgaben.";Appli, Plattform
b1;Den eigenen ICT-Arbeitsplatz einrichten;114, 117;187;"b1.1: Sie setzen einen Computer mit einem Betriebssystem auf. (K3)
b1.2: Sie verbinden den Computer mit einem Netzwerk und testen die Verbindung. (K3)
b1.3: Sie konfigurieren die nötigen Sicherheitsmassnahmen (Firewall, Antivirensysteme etc.) gemäss Firmenrichtlinien. (K3)
b1.4: Sie installieren Software, testen sie und führen bei Bedarf Updates aus. (K3)
b1.5: Sie verbinden den Computer mit den zu verwendenden Peripheriegeräten und testen deren Funktionalitäten. (K3)
b1.6: Sie richten ihren Bürotisch und -stuhl nach ergonomischen Grundsätzen ein. (K3)";"Informatikerinnen und Informatiker richten den eigenen digitalen Arbeitsplatz mit allen benötigten Komponenten ein:
In einem ersten Schritt setzen sie den Computer mit einem Betriebssystem auf, verbinden ihn mit einem Netzwerk und testen die Verbindung. Sie konfigurieren die nötigen Sicher-heitsmassnahmen (Firewall, Antivirensysteme etc.) gemäss Firmenrichtlinien. Bei Bedarf installieren sie Software, testen, ob sie einwandfrei funktioniert und führen gegebenenfalls Updates aus. Darauf verbinden sie den Computer mit weiteren zu verwendenden Peripheriegeräten und testen deren Funktionalitäten.
Des Weiteren richten sie ihren Bürotisch und -stuhl so ein, dass die ergonomischen Grundsätze eingehalten werden. Mit Büromaterialien und Energie gehen sie sparsam um.";Appli, Plattform
b2;Komplexe ICT-Supportanfragen entgegennehmen und bearbeiten;;;"b2.1: Sie analysieren komplexe Anfragen systematisch (z.B. mit Hilfe eines Fragenkatalogs o-der einer Checkliste). (K4)
b2.2: Sie führen mit geeigneten Methoden oder Kollaborationen Lösungen herbei. (K5)
b2.3: Sie dokumentieren Lösungen nach betriebsspezifischen Vorgaben. (K3)
b2.4: Sie bereiten Lösungen für eine Anfrage zielgruppengerecht (z.B. für den 2nd Level Sup-port) auf und kommunizieren sie. (K3)";"Informatikerinnen und Informatiker nehmen komplexe Supportanfragen entgegen und erarbeiten Lösungen:
Sie erhalten im Rahmen des 3rd Level Supports eine Supportanfrage für ein komplexes ICT-Problem. Sie nehmen diese entgegen und beginnen sogleich, den Inhalt der Anfrage systematisch zu analysieren (z.B. mit Hilfe eines Fragenkatalogs oder einer Checkliste).
Mittels geeigneter Methoden oder Kollaborationen führen sie eine Lösung herbei und dokumentieren diese nach betriebsspezifischen Vorgaben. Ihre Lösung für die Anfrage bereiten sie zielgruppengerecht (z.B. für den 2nd Level Support) auf und kommunizieren sie dem Anfragesteller.";Appli, Plattform
b3;Kundinnen und Kunden in Bezug auf Datenschutz und Datensicherheit beraten;231;216,217,185,107;"b3.1: Sie klären anhand von gezielten Fragen die Sicherheitssituation beim Kunden in Bezug auf System, Netzwerk, Software und Daten. (K4)
b3.2: Sie informieren Kunden über Gefahren im Netz und den Umgang mit schützenswerten Daten. (K3)
b3.3: Sie schlagen dem Kunden nötige und empfohlene Schutzmassnahmen in den evaluierten Bereichen vor. (K5)
b3.4: Sie schulen Mitarbeitende in der Anwendung der firmeneigenen IT-Richtlinien. (K5)";"Informatikerinnen und Informatiker beraten Kundinnen und Kunden im Umgang mit schützenswerten Daten und zeigen Lösungen für Schutzmassnahmen auf:
Dazu klären sie zunächst mit gezielten Fragen die Sicherheitssituation bei Kundinnen und Kunden in Bezug auf System, Netzwerk, Software und Daten. Anhand dieser Informationen schlagen sie den Kundinnen und Kunden nötige und empfohlene Schutzmassnahmen in den evaluierten Bereichen vor. Sie schaffen ein Bewusstsein für Gefahren im Netz und im Umgang mit schützenswerten Daten.
Zur Erfüllung dieser Aufgaben informieren sie sich laufend über Veränderungen der rechtlichen Rahmenbedingungen/Vorgaben.
Bei Bedarf schulen sie Mitarbeitende in der Anwendung der firmeneigenen IT-Richtlinien.";Appli, Plattform
