ID;Name;Beschreibung;typ;Fachrichtung;Wahlmodule;Lehrjahr;Datum ;Handlungsziele
431;"Aufträge im
eigenen Berufsumfeld
selbständig durchführen";Führt Aufträge aus dem eigenen Berufsumfeld gemäss Vorgaben des Auftraggebers selbständig und mit Hilfe geeigneter Techniken, Methoden und Hilfsmittel durch.;BFS;Appli, Plattfrom, ICT, Medi;false;1;Q1;"1 1.1 Kennt die grundsätzlichen Elemente einer Organisation (Aufgabe, Aufgabenträger, Sachmittel, Information) und deren Beitrag zur Bestimmung einer Aufgabe.
1.2 Kennt den generellen Phasenablauf eines Projektes (z.B. Initialisierung, Konzept, Realisierung, Einführung) als Umfeld einer Auftragsbearbeitung.
1.3 Kennt die typischen Rollen von Auftraggeber und Auftragnehmer sowie deren Aufgaben, Kompetenzen und Verantwortungen.
2 2.1 Kennt ein Modell der vollständigen Handlung.
2.2 Kennt eine Technik zur Steuerung des Projektes, die dazu beiträgt, die Einhaltung der Ziele und der Vorgaben eines Auftrages zu unterstützen.
2.3 Kennt den Mehrwert von Checklisten, die zur Bewältigung eines Auftrags 
eingesetzt werden.
3 3.1 Kennt verschiedene Problemlösungsmethoden und deren Einsatzbereiche 
(z.B. 5W Methode, Ishikawa-Diagramm).
3.2 Kennt verschiedene Kreativitätstechniken und deren Einsatzbereiche.
3.3 Kennt verschiedene Lerntechniken, um sich das nötige Wissen für eine Auftragsbearbeitung anzueignen.
4 4.1 Kennt die Bedeutung einer Dokumentation zur Sicherstellung und Nachvollziehbarkeit von Arbeitsergebnissen.
4.2 Kennt die wichtigsten inhaltlichen und formalen Regeln, die bei der Dokumentation von Arbeitsergebnissen einzuhalten sind.
4.3 Kennt verschiedene Präsentationstechniken und deren Einsatzbereiche.
4.4 Kennt Möglichkeiten, die Auftragsabwicklung zu reflektieren (z.B. Sozi"
162;Daten analysieren und modellieren;Analysiert Informationsbestände aus verschiedenen Quellen, charakterisiert Daten und ordnet sie ein. Erstellt durch die in der Analyse gewonnenen Anhaltspunkte ein konzeptionelles Datenmodell und überführt dieses in ein logisches, relationales Datenmodell.;BFS;Appli, Plattform, edb;false;1;Q1;"1 1.1 Kennt verschiedene Formen von Daten (numerische: Messdaten/Klassifikationen; verbale: Texte in schriftlicher oder gesprochener Form; nonverbale: Musik, Fotos, Videos, usw.) und wie sie auf einem Datenträger gespeichert werden. Kennt deren Auswertbarkeit auf einem Computersystem. 1.2 Kennt Strukturmerkmale verschiedener Informationsquellen (Textdokumente, Datenblätter, Geschäftsgrafiken, Datenbanken, usw.) und die Konsequenzen, welche sich daraus für die elektronische Auswertung dieser Datenquellen ergeben. 2 2.1 Kennt Merkmale eines Datenbestandes bezüglich Eindeutigkeit und Vollständigkeit (unterschiedliche Angaben zur gleichen Information, unterschiedlicher Informationsgehalt). 2.2 Kennt verbreitete Datentypen zur Charakterisierung von Daten (ganze Zahl, rationale Zahlen, Zeit, Datum, Text, Boolean, usw.). 2.3 Kennt die verschiedenen Skalentypen (nominal, ordinal und metrisch) und die sich daraus ergebenden Konsequenzen für die Auswertungsmöglichkeiten. 3 3.1 Kennt verbreitete Diagrammtypen für die Darstellung von Daten in Geschäftsgrafiken (Kreisdiagramm, Balkendiagramm, Liniendiagramm, Netzdiagramm, usw.). 3.2 Kennt die Notwendigkeit, Auswertungsergebnisse auf Relevanz zu beurteilen und dass Tendenzen in diesen je nach Perspektive relevant, aber auch nicht relevant sein können. 3.3 Kennt wichtige statistische Kenngrössen (Minimum, Maximum, Mittelwert, Median, Durchschnitt, Anzahl Beobachtungen) und die Voraussetzungen (Skalentypen, Anzahl Beobachtungen, Qualität der Daten, usw.) für eine zuverlässige Aussage. 3.4 Kennt Grundprinzipien von Geheimhaltung und Datenschutz bei der Erfassung, Auswertung und Darstellung von schützenswerten Datenbeständen. 4.3 Kennt die verschiedenen Kardinalitäten von Assoziationen (1:1, 1:m, n:m) und kennt das Vorgehen, um den Beziehungstyp zwischen Datenstrukturen zu bestimmen. 4 4.1 Kennt die methodische Vorgehensweise bei der Entwicklung eines konzeptionellen Datenmodells (Entity Relationship Model, ERM), ausgehend von DaModulnummer 162 Titel Daten analysieren und modellieren Kompetenz Analysiert Informationsbestände aus verschiedenen Quellen, charakterisiert Daten und ordnet sie ein. Erstellt durch die in der Analyse gewonnenen Anhaltspunkte ein konzeptionelles Datenmodell und überführt dieses in ein logisches, relationales Datenmodell. Handlungsziele und handlungsnotwendige Kenntnisse © ICT-Berufsbildung Schweiz Seite 3 von 3 tenstrukturen bzw. Anforderungen des Kunden (spezialisieren, generalisieren, Entitätstypen identifizieren und definieren, Attribute definieren, Beziehungen beschreiben). 4.2 Kennt Elemente in einem konzeptionellen Datenmodell (Entitätstyp, Attribut, Assoziation, Kardinalität), deren Eigenschaften und deren Darstellung. 5 5.1 Kennt die Unterschiede zwischen dem konzeptionellen und dem logischen, relationalen Datenmodell (Relational Model, RM) und das Vorgehen zur Überführung vom konzeptionellen zum logischen, relationalen Datenmodell. 5.2 Kennt zu erfüllende Merkmale von Identifikationsschlüsseln und die daraus entstehenden Verarbeitungsmöglichkeiten als Primär- und Fremdschlüssel. 5.3 Kennt die Notwendigkeit von Zwischentabellen zur Abbildung von n:m-Kardinalitäten zwischen Entitätstypen. 5.4 Kennt erweiterte Konstruktionselemente (z.B. Rekursive Assoziation) des logischen, relationalen Datenmodells. 6 6.1 Kennt die Schritte der Normalisierung von der 0. bis zur 3. Normalform. 6.2 Kennt Gründe, weshalb eine vollständige Normalisierung bis zur 3. Normalform zugunsten der besseren Performanz nicht immer angestrebt wird. 7 7.1 Kennt Notationen zur Darstellung von konzeptionellen und logischen, relationalen Datenmodellen (IEM- bzw. Crow foot-, Chen-, Modified Chen-, Zehnder-, UML-Notation usw.). 7.2 Kennt Tools, um konzeptionelle und logische, relationale Datenmodelle zu erstellen."
117;Informatik- und Netzinfrastruktur für ein kleines Unternehmen realisieren;Installiert ein lokales Netzwerk ohne zentrale Benutzerverwaltung.;BFS;Appli, ICT, Plattform;false;1;Q2;1 Klärt mit dem Auftraggeber die Anforderungen an das zu installierende Netzwerk und bestimmt die gewünschten Dienste wie File-, Print- oder Internetzugang. 2 Definiert den logischen und physischen Aufbau des Netzwerks gemäss den betrieblichen Anforderungen und räumlichen Gegebenheiten und bildet diesen in einem Netzwerkschema sowie einem Verkabelungsplan ab. 3 Plant die erforderlichen Arbeitsschritte für die Installation und Konfiguration unter Berücksichtigung des Netzwerkausbaus und der baulichen Verhältnisse. 4 Baut das Netzwerk auf und installiert sowie konfiguriert die Netzwerkkomponenten gemäss den Herstellerdokumentationen. 5 Definiert die Ressourcenverwaltung wie Gruppen und Shares sowie das File- und Printsharing unter Einhaltung der Vorgaben zur Datensicherheit und Verfügbarkeit. 6 Testet das Netzwerk sowie die angeschlossenen Systeme und dokumentiert die erzielten Testergebnisse nachvollziehbar.
319;Applikationen entwerfen und implementieren;Die Lernenden kennen die Grundlagen des Programmierens, deren Herkunft, ihrer Voraussetzungen und sind in der Lage im Beruflichen Umfeld Probleme zu verstehen und Lösungen dafür zu entwickeln.;BFS;Appli, Plattform, edb;false;1;Q2;1 1.1 Kennt den Unterschied und den Zweck von Problemraum zu Lösungsraum. 1.2 Kennt Instrumente, um Anforderungen Lösungsfrei zu identifizieren. 1.3 Kennt die Gründe, um den Problemraum und Lösungsraum voneinander zu trennen (z.B Innovationsgewinn, Stressreduktion). 2 2.1 Kennt eine Notation, um den Ablauf einer Programmlogik abzubilden (z. B PAP, Struktogramm, Activity). 2.2 Kennt den Zweck von Modellen und Diagrammen als Besprechungs- und Umsetzungsgrundlage. 3 3.1 Kennt die Unterscheidung der Datentypen (z.B. primitive, komplexe). 3.2 Kennt die relevanten Datentypen (z.B. integer, boolean, array mit einer Dimension). 3.3 Kennt die Funktionsweise einer Software nach dem EVA Prinzip. 4.7 Kennt den Mehrwert der Auslagerung von Teilen von Code in Funktionen. 4.6 Kennt den Aufbau von Funktionen (Name, Parameter, Datentypen, Rückgabetyp) und wie diese in einem Programm korrekt eingesetzt und aufgerufen werden. 4.5 Kennt die Möglichkeiten von Editoren sowie einer Entwicklungsumgebung, sowie den Umgang mit Fehler- und Warnmeldungen. 4.2 Kennt die Verwendung von Kontrollstrukturen wie Iterationen (vor-/nachgeprüft), Selektion. 4.3 Kennt Sinn und Zweck von Variablen und Konstanten sowie deren Unterschied. 4 4.1 Kennt den grundlegenden Aufbau einer Applikation resp. Programmes. 4.4 Kennt den Gültigkeitsbereich von Anweisungen und deren Zweck. 5 5.1 Kennt die Bedeutung von Konventionen (z.B. Firmenkonventionen, Sprachkonventionen). 5.2 Kennt die Bedeutung von Kommentaren und deren Beitrag zu besser wartbarer Software. 6.2 Kennt Sinn und Zweck des Testens, sowie die Absicht von einzelnen Testfällen. 6 6.1 Kennt den Zweck, die Funktionen und die Bedienung eines Debugger. Modulnummer 319 Titel Applikationen entwerfen und implementieren Kompetenz Die Lernenden kennen die Grundlagen des Programmierens, deren Herkunft, ihrer Voraussetzungen und sind in der Lage im Beruflichen Umfeld Probleme zu verstehen und Lösungen dafür zu entwickeln. Handlungsziele und handlungsnotwendige Kenntnisse © ICT-Berufsbildung Schweiz Seite 3 von 3 6.3 Kennt ein Verfahren für den statischen Test (z.B. Codereview) von Programmcode und kann die Bedeutung für die Qualität der Software aufzeigen
114; Codierungs-, Kompressions- und Verschlüsselungsverfahren einsetzen;Codierungs-, Kompressions- und Verschlüsselungsverfahren im täglichen Berufsalltag korrekt einsetzten.;BFS;Appli, Plattform;false;1;Q3;1 1.1 Kennt die wichtigsten Typen von Binärcodes (z.B. ASCII, ANSI-, BCD-, EAN- ,1-aus -n-, UTF, Uni-Code) und kann anhand ihrer Merkmale (Zeichenvorrat, Redundanz) aufzeigen, wie sich diese hinsichtlich der Bewertbarkeit, Fehlererkennbarkeit und Rechenfähigkeit unterscheiden. 1.2 Kennt die wichtigsten Eigenschaften von Bildern (z. B S/W Strichzeichnung, Farbfoto, bewegte/nicht bewegte Bilder, vektorisiert/pixelorientiert usw.) und kann erläutern, wie damit die Bildqualität (z. B Auflösung, Farbtiefe), der Bildaufbau und der Speicherbedarf beeinflusst werden kann, wie auch Sicherheitslücken bezüglich Metadaten aufzeigen. 1.3 Kennt binäre, oktale und hexadezimale Zahlensysteme, logische Operationen (OR, AND, NOT) und weiss wie diese in der IT eingesetzt inkl. deren Umrechnung in andere Zahlen-systeme werden (z. B Unix-Dateirechte, IPAdressen, Farben-RGB usw.). 1.4 Kennt Verfahren zur binären Kodierung von Zahlen (z. B negative Zahlen/Zweierkomplement, Gleitkommazahlen, Exzess). 2 2.1 Kennt Merkmale (z. B Kompressionsrate, Qualitätsverlust) für gängige verlustlose und verlustbehaftetet Kompressionsverfahren und an welchen Stellen, welches sinnvoll eingesetzt wird. 2.2 Kennt ausgewählte Normen und Standards (z. B. JPEG, PNG, MPEG, H261/263, Huffmann-Verfahren) und kennt typische Anwendungsbereiche wo diese eingesetzt werden, wie auch die Berücksichtigung von mehrfach komprimierten Dateien ( z. B JPEG in einem *.Zip) und deren nachteilige Folgen. 3 3.1 Kennt das grundsätzliche Prinzip der Verschlüsselung von Informationen (z. B Kryptografie/Steganografie) und kann anhand eines einfachen Verschlüsselungskonzepts aufzeigen, wie damit Informationen chiffriert und dechiffriert werden können. 3.2 Kennt mögliche aktuelle oder zukünftige Applikationen, welche für die Verschlüsselung von Daten (z. B. PGP, Keypass) eingesetzt werden können und an welchen Stellen diese Applikationen sinnvoll sind. 3.3 Kennt die Konfiguration der Verschlüsselungsapplikationen und kann diese gemäss Firmenvorgabe oder Anleitung korrekt in Betreib nehmen. 4 4.1 Kennt die prinzipiellen Unterschiede zwischen einer symmetrischen und asymmetrischen Verschlüsselung (z. B Passwörter, private und öffentliche Modulnummer 114 Titel Codierungs-, Kompressions- und Verschlüsselungsverfahren einsetzen Kompetenz Codierungs-, Kompressions- und Verschlüsselungsverfahren im täglichen Berufsalltag korrekt einsetzten. Handlungsziele und handlungsnotwendige Kenntnisse © ICT-Berufsbildung Schweiz Seite 3 von 3 Schlüssel) und kann erläutern, wie sich diese auf den Grad der Datensicherheit auswirken. 4.2 Kennt das Prinzip elektronischer Signatursysteme und kann anhand von Beispielen aufzeigen, wie damit die Sicherheit (z. B Authentizität, Integrität) der Übermittlung gewährleistet werden kann, wie auch an welchen Stellen heute und in Zukunft diese eingesetzt werden können. 4.3 Kennt den Zweck digitaler Zertifikate und kann an Beispielen erläutern, wie damit das Vertrauen zwischen Anbieter und Bezüger (einer Leistung, eines Produktes) sichergestellt werden kann. 5 5.1 Kennt mögliche IT bezogene Stellen, wie API-Schnittstellen, Versenden von E-Mails, wie diese bei der Übertragung von Daten verschlüsselt werden sollten und welche minimale Datenverschlüsselung bei der Übertragung gemäss Gesetz verwendet werden muss (z. B Bit-Länge der Verschlüsselung). 5.2 Kennt mögliche Schwachstellen der Verschlüsselungsverfahren bei Datenverschlüsselung oder Datenübertragung und kann diese aufzeigen.
164;Datenbanken erstellen und Daten einfügen;Implementiert ein logisches, relationales Datenmodell in einem Datenbankmanagementsystem. Fügt Daten in die Datenbank ein, prüft die eingefügten Daten und korrigiert allfällige Fehler.;BFS;Appli, plattform, edb;false;1;q3;1 1.1 Kennt Vorgehensweise, um ein logisches, relationales Datenmodell systematisch zu interpretieren. 2 2.1 Kennt die Elemente (Datenbank, Zeichensatz, Schema, Tablespace, Tabelle, Partition, Feld, usw.) eines Datenbankmanagementsystems (DBMS) zur Umsetzung eines Datenmodells in ein physisches Datenbankschema. 2.2 Kennt die Befehle einer Datendefinitionssprache (DDL) zur Implementierung des logischen, relationalen Datenmodells in einem physischen Datenbankschema. 2.3 Kennt gebräuchliche Datentypen (Zeichenfolgen fix und variabel, Ganzzahlen, Fliesskommazahlen, Datum und Zeit, Binärtypen) und deren Grenzen und Verwendung passend zum logischen Datentyp. 2.4 Kennt Möglichkeiten zur Vergabe von Standardwerten für Attribute und zur automatischen Verwaltung des Primärschlüssels. 3 3.1 Kennt Elemente und Befehle einer Datendefinitionssprache (DDL) zur Implementierung von Integritätsbedingungen (Constraints), d.h. zur Sicherstellung der referenziellen Integrität. 3.2 Kennt weitere Constraints auf Tabellen- und Attributebene (keine leeren Werte, Einschränkung des Wertebereichs, Standardwerte, usw.) und kennt die möglichen Regeln beim Ändern und Löschen eines Datensatzes. 3.3 Kennt Befehle zur zeitweisen Aussetzung der Integritätsbedingungen, z.B. zur Ermöglichung oder Beschleunigung von Imports. 4 4.1 Kennt Befehle einer Datenbearbeitungssprache (DML) zum Hinzufügen einzelner oder mehrerer Datensätze in die Datenbank (über die Konsole, aus bestehenden Tabellen, über DBMS-Frontend Tools). 5 5.1 Kennt Varianten und Befehle einer Datenbearbeitungssprache (DML) zum Hinzufügen von Datensätzen über einen Massenimport (Bulk Load) aus externen Quellen (CSV, XML, JSON, SQL-Insert, usw.). 5.2 Kennt Befehle einer Datenbearbeitungssprache (DML) zur Manipulation von Datensätzen während des Massenimports. 6 6.1 Kennt Testkriterien zur Prüfung der importierten Daten auf Vollständigkeit und Datenintegrität. 6.2 Kennt Befehle einer Datenbearbeitungssprache (DML) zur Abfrage von Datenbeständen und nutzt einfache Filterfunktionen. Modulnummer 164 Titel Datenbanken erstellen und Daten einfügen Kompetenz Implementiert ein logisches, relationales Datenmodell in einem Datenbankmanagementsystem. Fügt Daten in die Datenbank ein, prüft die eingefügten Daten und korrigiert allfällige Fehler. Handlungsziele und handlungsnotwendige Kenntnisse © ICT-Berufsbildung Schweiz Seite 3 von 3 6.3 Kennt Befehle einer Datenbearbeitungssprache (DML) zur Erstellung von Checksummen zur anschliessenden Prüfung der Datenbestände. 7 7.1 Kennt Befehle einer Datenbearbeitungssprache (DML) zur Anpassung oder Entfernung einzelner oder mehrerer Datensätze.
231;Datenschutz und Datensicherheit anwenden;Setzt Datenschutz und Datensicherheit bei Informatiksystemen ein. Überprüft vorhandene Systeme auf Einhaltung von Richtlinien.;BFS;Appli, Plattfrom,edb;flase;1;q4;"1 1.1 Kennt verschiedene Kategorien der Schutzwürdigkeit von Daten und deren 
Kriterien.
1.2 Kennt den Unterschied von Datenschutz und Datensicherheit.
1.3 Kennt verschiedene Rechtsräume (Schweiz, EU).
1.4 Kennt für den jeweiligen Rechtsraum die juristischen Werke (z. B. DSG, 
DSGVO).
2 2.1 Kennt Möglichkeiten zur Verschlüsselung von Daten auf dem eigenen Rechner (z.B. Datenträgerverschlüsselung).
2.2 Kennt Verfahren zur Erstellung und Wiederherstellung von Backups.
2.3 Kennt Techniken des Zugriffsschutzes, Passwortmanager und Prinzipien der 
Passwortverwaltung.
2.4 Kennt den Unterschied von Authentifizierung und Autorisierung.
3 3.1 Kennt Verfahren zur Speicherung von Daten und bewusst redundanter Datenhaltung (z.B. lokal, Server, Cloud).
3.2 Kennt verschiedene Gefahren, denen Daten ausgesetzt sind (z.B. Diebstahl, 
Ransomware, Integritätsverletzung).
4 4.1 Kennt wesentliche Unterschiede in den Datenschutzgesetzen der verschiedenen Rechtsräume.
5 5.1 Kennt die Problematik von Datenlöschungen über alle Archive und Backups.
5.2 Kennt wesentliche juristische Voraussetzungen und Eigenheiten von Websites (z.B. Impressum, Disclaimer, AGBs).
6 6.1 Kennt verschiedene Lizenzmodelle (z.B. für Software, Texte, Bilder)."
122;Abläufe mit einer Scriptsprache automatisieren;Automatisiert Abläufe in der Systemadministration mithilfe einer Scriptsprache;BFS;Appli, ICT, Plattform, edb;false;1;Q4;1 Stellt eine zu automatisierende Funktion oder einen zu automatisierenden Ablauf mit den dazugehörigen Benutzerinteraktionen als Ablaufstruktur (z.B. Programmablaufplan) grafisch dar. 2 Setzt die Ablaufstruktur mithilfe einer Scriptsprache um. 3 Integriert das Script in eine Systemumgebung. 4 Testet Scripts auf eine vollständige und korrekte Ausführung der erforderlichen Funktionalität bzw. des Ablaufs. 5 Erstellt eine Dokumentation für den Einsatz des Scripts.
320;Objektorientiert Programmieren;Applikationen und Schnittstellen objektorientiert modellieren, implementieren, testen und dokumentieren.;BFS;Appli;false;2;Q5;"1 1.1 Kennt den objektorientierten Ansatz mit den Grundkonzepten Kapselung, 
Vererbung und Polymorphie.
1.2 Kennt Vorgehensprinzipien zur Klassenfindung (z.B. Spezialisierung und Generalisierung, Domänenmodell und –Events, BoundedContext, DRY, SRP)
1.3 Kennt Abstraktionskonzepte wie Assoziationen, Klassen, Attribute und Methoden, Schnittstellen und abstrakte Klassen und Datentypen (ADT, Collections, Generics).
2 2.1 Kennt Beschreibungen (z.B. CRC-Card) und Diagrammnotationen (z.B. UML, 
TAM, 4+1) für statische und dynamische Aspekte von objektorientiertem 
Design.
2.2 Kennt das Dokumentieren mit einer Dokumentationsinfrastruktur (z.B. Javadoc).
3 3.1 Kennt den Unterschied zwischen Klassen und Objekten.
3.2 Kennt eine objektorientierte Sprache und deren Elemente und kann damit 
das Design umsetzen.
3.3 Kennt das Konzept der dynamischen Bindung.
3.4 Kennt das Konzept der Inversion of Control (DependencyInjection)
4 4.1 Kennt Verfahren zum Erstellen von Testfällen.
4.2 Kennt Testmethoden zur Überprüfung der Komponenten einer Anwendung 
(automatisches Unit-Testing)."
293;Webauftritt erstellen und veröffentlichen;Erstellt einen Webauftritt mit modernen Webtechnologien und -sprachen nach Vorgaben und veröffentlicht ihn.;BFS;Appli;false;2;Q5;1 1.1 Kennt wichtige Prinzipien (z.B. Request/Response, Stateless, Asynchron) für die Webentwicklung. 1.2 Kennt relevante Aspekte, unter welchen die Machbarkeit überprüft werden kann. 1.3 Kennt die grundlegenden Unterschiede der verschiedenen Browser (z.B. Firefox, Chrome, Safari) hinsichtlich Kompatibilität, Funktionalität und Darstellung. 2 2.1 Kennt geeignete Entwicklungs- und Laufzeitumgebungen (z.B. IntelliJ, Visual Studio Code) und kennt die Vorgehensweise, sie nach Vorgaben einzurichten. 2.2 Kennt Grundelemente einer Webseitensprache für Semantik (z.B. HTML) 2.3 Kennt die Möglichkeiten (z.B. CSS, SCSS), eine Webseite zu gestalten (Layout und Design). 2.4 Kennt Grundelemente einer Webseitensprache für Interaktion und Navigation und Navigation (z.B. JavaScript). 2.5 Kennt die Unterschiede, welche Sprachen und Technologien von einem Browser direkt unterstützt werden (z.B. CSS, JS), welche umgewandelt werden müssen (z.B. SCSS, Typescript) und kennt Werkzeuge (z.B. Babel, Typescript), mit welchen diese umgewandelt werden. 3 3.1 Kennt Methoden, wie lesbarer und wartbarer Code geschrieben wird. 3.2 Kennt die empfohlenen Vorgehensweisen (Best Practices), wie eine Webseite aufgebaut und programmiert wird. 3.3 Kennt Techniken (Responsive, Cross-Browser-Kompatibilität), wie eine Webseite auf verschiedenen Endgeräten (z.B. Desktop, Mobile) optimal angezeigt wird. 3.4 Kennt eine Methode (z.B. Testen, Validierung) für die Erfolgskontrolle sowie deren Einsatz für die Bestimmung der Zielerfüllung. 3.5 Kennt Coderichtlinien und Methoden, wie diese überprüft werden können (z.B. W3C-Validatoren, Einsatz eines Tools, IDE, Linter). 4 4.1 Kennt verschiedene Möglichkeiten, wie eine Webseite von einer lokalen Umgebung auf einen Server gebracht und veröffentlicht wird. 4.2 Kennt die rechtlichen und sicherheitstechnischen Aspekte, die bei einem Webauftritt berücksichtigt und eingehalten werden müssen (z.B. Urheberrecht, Persönlichkeitsschutz). Modulnummer 293 Titel Webauftritt erstellen und veröffentlichen Kompetenz Erstellt einen Webauftritt mit modernen Webtechnologien und -sprachen nach Vorgaben und veröffentlicht ihn. Handlungsziele und handlungsnotwendige Kenntnisse Handlungsnotwendige Kenntnisse © ICT-Berufsbildung Schweiz 16.08.2021 Seite 3 von 3 4.3 Kennt die rechtlichen und sicherheitstechnischen Abhängigkeiten, die im Zusammenhang mit dem geographischen Standort des Webservers stehen (z.B. europäischer Datenschutz, amerikanischer Datenschutz, Schweizer Datenschutz).
